TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
1685,28900646,1685.01,CP,68.5937301406661,43.0374137479968,11.1117,0.669144914216613,1254.37119318744,4.7705,1.92004069815713,200225,3457.0
1686,102672709,1686.01,PC,61.7310431629499,66.1196221615637,9.86671,6.70532598406713,623.664476190979,4.17616,3.72946479398921,200226,6141.0
1687,103448870,1687.01,PC,66.8346834976847,73.0238567012423,9.83739,10.2596321705401,1080.92131650721,4.4674,3.91307346294403,200226,5734.0
1688,121966220,1688.01,PC,75.7977364380956,41.7858322053939,10.8001,6.71719125367884,9138.71507095074,3.7177,22.8756579685538,200226,5843.0
1691,268334473,1691.01,PC,272.406133451681,86.859645630564,9.52636,16.7369141,1113.0,4.44767,2.92728,200807,5759.0
1694,396740648,1694.01,PC,97.7482109435291,66.3606832508734,10.7424,3.77012960886973,4361.18010817049,4.53907,5.4800265832157,200226,5058.0
1695,422756130,1695.01,CP,21.9207193285896,72.296440540869,11.0294,3.1342945619236,1183.6060713481,4.72334,1.79929660611783,200226,3575.0
1699,22705558,1699.01,PC,125.1887773,46.2037148,10.876,4.54700553104027,813.737072479186,4.41,3.0070741368658,200225,5654.4
1700,23650642,1700.01,PC,126.0884702,42.1049922,10.822,1.12355,1020.0,4.41,3.49799,200226,5524.0
1705,137500798,1705.01,EB,132.6351809,82.9271966,10.304,13.2051436,710.0,4.14,5.53247,200226,6653.0
1711,461662295,1711.01,PC,124.4469306,51.0105801,9.929,10.2723274,5580.0,4.43,7.75535,200226,5326.0
1719,293617835,1719.01,PC,135.2975365,55.8599444,7.765,2.7552506,360.0,3.26,13.096,240122,6096.4
1723,71431780,1723.01,PC,116.797138674966,68.476631450715,9.09942,13.7265216,760.0,4.38035,2.99997,200226,5777.0
1724,81212286,1724.01,PC,127.033288976573,56.4275616950096,12.507,0.685080805288586,2675.71766622605,4.8452,1.98063582512353,200226,3541.0
1726,130181866,1726.02,CP,117.47941846949,27.3631829441248,6.2683,20.5438153321812,799.381713281805,4.53108,2.57342830751905,200226,5694.11
1726,130181866,1726.01,CP,117.47941846949,27.3631829441248,6.2683,7.10791120555159,503.301412460597,4.53108,2.24289991251561,200226,5694.11
1728,285048486,1728.01,CP,120.610626338426,64.7969252940374,10.7921,3.4913952,5400.0,4.62346,4.9395,200226,3907.0
1730,318022259,1730.03,PC,107.866428753493,48.3303892640576,10.3595,12.5739572,2170.0,4.70931,2.4359,200226,3691.0
1730,318022259,1730.01,PC,107.866428753493,48.3303892640576,10.3595,6.2262315,1488.0,4.70931,2.75524,200226,3691.0
1730,318022259,1730.02,PC,107.866428753493,48.3303892640576,10.3595,2.1555232,742.0,4.70931,1.47809,200226,3691.0
1737,233009109,1737.01,PC,248.2528802,72.9257659,8.575,14.4479443,200.0,4.01,2.79779,210322,6669.0
1739,159418353,1739.01,PC,240.177355741589,83.2581946690649,9.812,8.30329783725283,560.369879916064,4.54519,1.84726929393533,200809,4814.0
1751,287080092,1751.01,PC,243.488772732584,63.5342737177148,8.80616,37.4685522,437.0,4.293,2.43283,210322,6114.0
1752,287139872,1752.02,PC,253.462993158641,60.7090806785578,12.7463,32.7135406170529,1469.25987877351,4.71387,2.42028371319677,200809,3652.0
1752,287139872,1752.01,PC,253.462993158641,60.7090806785578,12.7463,0.935189077550389,1150.28711558521,4.71387,1.80329352986338,200809,3652.0
1754,332477926,1754.01,PC,265.594374746562,57.4478239411315,11.7229,16.2143216884247,1553.70643385554,4.65688,2.82350745588676,200807,3849.0
1758,367858035,1758.01,PC,354.743020135178,75.6851233615404,10.0907,20.7050858,1832.0,4.57,3.40565,210929,5169.0
1769,287225295,1769.01,PC,144.0004616,51.607577,9.482,0.6097552,601.794223119365,4.52,2.99971,201230,5493.0
1782,160045097,1782.02,PC,213.080044832508,74.4116206053703,11.3069,1.82902939880296,704.849393302529,4.62012,2.12683751057302,210323,4336.0
1782,160045097,1782.01,PC,213.080044832508,74.4116206053703,11.3069,4.9877056237819,1192.33981983428,4.62012,2.47030768006154,210323,4336.0
1782,160045097,1782.03,PC,213.080044832508,74.4116206053703,11.3069,18.7559764648518,1506.81833100173,4.62012,2.97375359911059,210323,4336.0
1794,286916251,1794.01,PC,203.397702760509,49.06113620859,9.69924,8.765603,530.0,4.21803,2.96768,210323,5707.0
1807,180695581,1807.01,CP,201.283316098937,38.9224850134538,9.0363,0.54937,370.0,4.56172,1.53904,210323,4612.99
1824,142387023,1824.01,PC,197.7311872,61.7447787,8.975,22.8085984,870.0,4.55,2.50173,210322,5182.0
1873,328933398,1873.03,PC,212.5684287,84.3718686,10.745,7.00568049251826,766.894461991216,4.47,3.10392321793405,200809,5699.0
1873,328933398,1873.02,PC,212.5684287,84.3718686,10.745,900.193098724326,1344.48848818584,4.47,3.61852360263806,200809,5699.0
1873,328933398,1873.01,PC,212.5684287,84.3718686,10.745,24.9341884,1390.0,4.47,3.93465,200809,5699.0
2013,188589164,2013.01,PC,239.578324614201,35.4067440085437,10.2705,2.61627687236315,1120.60141844857,4.8984,1.09728673742702,200807,3352.0
2018,357501308,2018.01,PC,229.8381382,29.2061743,8.962,7.4355668,1170.0,4.67,2.4515,210322,4218.9
2036,368320811,2036.01,PC,233.0150056,24.0849504,8.979,1.2583329,440.0,3.89,4.91523,240124,6549.0
2043,346929661,2043.01,PC,0.9775826,59.3347775,10.198,12.0135482,950.0,4.33,3.82619,200809,6178.0
2048,159873822,2048.01,PC,237.9241797,52.3063143,10.755,13.7905315,1140.0,4.6,2.60168,210322,5021.6
2056,396356111,2056.01,PC,2.600379,58.4894815,7.331,10.2207,300.0,4.13,2.95608,200809,6748.7
2067,147951030,2067.01,PC,167.865944570149,71.5409280226572,10.4547,8.812848,905.0,4.5359,2.58968,210322,5491.0
2072,900715901,2072.01,PC,173.989737490813,75.5470049270358,11.6434,3.167981,970.0,4.93943,,201230,3546.0
2074,158075010,2074.01,PC,218.184663023972,43.7563423144516,8.38689,177.58305122878,456.090823416951,4.16825,3.59537307132677,210322,6594.0
