#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   9.13  0.09  0.51322 -1.359 3.596  4.838  7.40  0.093 0.80 15.084 16.315 20.250 18.327 17.164 16.244 16.849 13.698  0.513 
 1   9.13  0.13  1.01961 -0.094 3.749  4.483  9.00  0.103 0.00 14.005 14.177 16.482 15.410 14.629 14.155 14.394 11.282  1.020 
 1   9.13  0.15  1.28856  0.443 3.803  4.264 10.30  0.124 0.00 13.962 14.067 15.967 14.967 14.413 14.049 14.232 11.155  1.289 
 1   9.15 -0.47  0.79125 -0.453 3.723  4.628 10.20  0.123 0.00 16.102 16.384 18.746 17.674 16.867 16.359 16.625 13.495  0.791 
 1   9.15 -0.17  0.92772 -0.222 3.743  4.547  8.70  0.116 0.00 14.024 14.238 16.483 15.448 14.691 14.215 14.458 11.338  0.928 
 1   9.15 -0.05  0.79603 -0.594 3.689  4.634  8.70  0.126 0.00 14.956 15.384 18.372 17.005 15.938 15.339 15.675 12.529  0.796 
 1   9.15 -0.05  1.12496  0.177 3.786  4.401  9.30  0.096 0.00 13.627 13.741 15.643 14.695 14.110 13.722 13.914 10.818  1.125 
 1   9.15  0.07  0.88385 -0.398 3.711  4.574  9.50  0.112 0.00 15.265 15.571 18.309 17.062 16.089 15.537 15.831 12.702  0.884 
 1   9.15  0.19  0.97378 -0.211 3.732  4.510  9.90  0.147 0.00 15.197 15.460 18.025 16.855 15.959 15.434 15.706 12.588  0.974 
 1   9.17 -0.23  0.65057 -0.931 3.650  4.726  9.00  0.130 0.71 15.797 16.547 20.047 18.440 17.213 16.483 16.934 13.756  0.651 
 1   9.17 -0.17  0.93946 -0.192 3.747  4.538  9.80  0.122 0.95 14.423 14.648 16.919 15.874 15.107 14.625 14.872 11.752  0.939 
 1   9.17  0.01  1.68519  1.067 3.824  3.838 11.00  0.133 0.00 13.103 13.201 15.053 13.963 13.499 13.184 13.345 10.290  1.685 
 1   9.17  0.11  1.63488  0.971 3.825  3.926  8.40  0.115 0.00 10.742 10.815 12.663 11.582 11.110 10.798 10.958  7.905  1.635 
 1   9.19 -0.35  0.88329 -0.250 3.748  4.574  9.80  0.115 0.00 15.196 15.404 17.522 16.548 15.844 15.384 15.617 12.496  0.883 
 1   9.19 -0.23  1.90214  2.280 4.520  5.191  9.80  0.125 0.00  8.870 12.159 11.886 12.027 12.059 12.151 12.002  8.895  1.014 
 1   9.19 -0.15  0.74976 -0.681 3.679  4.657  9.20  0.128 0.74 15.393 15.960 19.121 17.675 16.556 15.907 16.287 13.129  0.750 
 1   9.19 -0.03  0.92162 -0.275 3.731  4.549 11.10  0.115 0.73 16.335 16.647 19.181 18.029 17.147 16.616 16.900 13.771  0.922 
 1   9.19 -0.01  1.74146  1.139 3.802  3.695  8.30  0.115 0.00 10.222 10.320 12.251 11.175 10.656 10.303 10.478  7.402  1.741 
 1   9.19  0.03  0.97271 -0.172 3.743  4.518  6.40  0.076 0.00 11.601 11.767 14.071 13.002 12.217 11.743 11.983  8.866  0.973 
 1   9.19  0.07  1.43732  0.715 3.824  4.123  8.90  0.127 0.00 11.884 11.979 13.787 12.756 12.280 11.961 12.125  9.069  1.437 
 1   9.19  0.17  1.67493  1.004 3.811  3.849 11.00  0.116 0.00 13.261 13.341 15.276 14.188 13.665 13.323 13.495 10.431  1.675 
 1   9.19  0.29  1.02747 -0.086 3.747  4.470 10.40  0.138 0.00 15.385 15.593 18.024 16.900 16.066 15.570 15.822 12.712  1.027 
 1   9.21 -0.23  1.43966  0.841 3.854  4.119  8.10  0.115 0.92 10.222 10.319 12.009 10.956 10.564 10.302 10.445  7.420  1.440 
 1   9.21 -0.19  0.68914 -0.834 3.659  4.693  8.90  0.133 0.00 15.755 16.369 19.694 18.165 16.981 16.309 16.711 13.542  0.689 
 1   9.21  0.13  1.94165  2.658 4.206  3.531 11.60  0.101 0.00  9.725 11.167 11.552 11.158 11.121 11.157 11.059  7.972  0.961 
 1   9.23 -0.37  1.16077  0.428 3.834  4.356  9.90  0.108 0.00 13.601 13.719 15.350 14.413 13.998 13.703 13.854 10.802  1.161 
 1   9.23 -0.35  1.69453  1.888 3.691  2.487 13.80  0.114 0.00 13.849 14.226 17.163 15.824 14.827 14.206 14.535 11.416  1.695 
 1   9.23 -0.27  0.92722 -0.177 3.754  4.543  8.50  0.116 0.71 13.522 13.776 15.959 14.958 14.228 13.751 13.999 10.876  0.927 
 1   9.23 -0.25  0.52138 -1.274 3.615  4.836  6.00  0.059 0.86 13.412 14.311 18.066 16.339 15.082 14.245 14.780 11.597  0.521 
 1   9.23 -0.19  0.72620 -0.730 3.673  4.668  7.90  0.094 0.00 14.495 14.975 18.090 16.657 15.543 14.922 15.280 12.123  0.726 
 1   9.23 -0.17  0.80065 -0.529 3.702  4.624 10.20  0.115 0.00 16.293 16.641 19.395 18.139 17.166 16.606 16.910 13.773  0.801 
 1   9.23 -0.13  1.43341  0.793 3.841  4.113  9.20  0.143 0.00 11.987 12.105 13.849 12.792 12.374 12.089 12.241  9.206  1.433 
